Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.9025
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1785
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.2485
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.2135
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1334.4233
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1302.6404
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1170.5094
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1325.6615
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.2779
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1177.3235
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.4038
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1140.44
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1246.3696
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.76
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1149.0136
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1115.1087
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5637
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7781
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9515
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2301
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5984
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0825
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.3017
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.118
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0546
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3565
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4706
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5436
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	118.027
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.9696
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9917
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9026
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.336
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6946
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2403
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5470
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3772
Axis Corporate Bond Fund - Direct Plan Growth	18.6462
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1940
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5796
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2587
Axis Corporate Bond Fund - Regular Plan Growth	17.5761
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7910
BANDHAN Corporate Bond Fund - Direct Growth	20.3339
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6476
